#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
02/10/2019;971,25;-0,59%;25,25;2,67%;44,75;4,83%;-2,11
01/10/2019;977;1,40%;30,25;3,20%;51;5,51%;4,96
30/09/2019;963,5;2,45%;11,75;1,23%;40,25;4,36%;8,45
27/09/2019;940,5;-0,58%;-9,5;-1,00%;23,75;2,59%;-2,02
26/09/2019;946;-0,08%;5,75;0,61%;21,25;2,30%;-0,28
25/09/2019;946,75;-0,53%;-3,75;-0,39%;32,75;3,58%;-1,84
24/09/2019;951,75;0,18%;5,5;0,58%;25,5;2,75%;0,64
23/09/2019;950;1,04%;-1,25;-0,13%;19,5;2,10%;3,58
20/09/2019;940,25;-1,08%;-17,25;-1,80%;14,5;1,57%;-3,77
19/09/2019;950,5;0,45%;-5,75;-0,60%;26,5;2,87%;1,56
18/09/2019;946,25;-0,53%;-6,75;-0,71%;9;0,96%;-1,84
17/09/2019;951,25;-0,65%;27,25;2,95%;23;2,48%;-2,30
16/09/2019;957,5;0,13%;28;3,01%;22;2,35%;0,46
13/09/2019;956,25;0,34%;41;4,48%;9,75;1,03%;1,19
12/09/2019;953;3,14%;37,75;4,12%;16,25;1,73%;10,66
11/09/2019;924;-0,59%;5;0,54%;-25,25;-2,66%;-2,02
10/09/2019;929,5;1,56%;-3,5;-0,38%;-11;-1,17%;5,24
09/09/2019;915,25;0,00%;-10,75;-1,16%;-9;-0,97%;0,00
06/09/2019;915,25;-0,41%;-11,25;-1,21%;-8;-0,87%;-1,38
05/09/2019;919;-1,50%;-7;-0,76%;-7,25;-0,78%;-5,14
04/09/2019;933;0,76%;9,75;1,06%;7;0,76%;2,57
03/09/2019;926;-0,05%;9,25;1,01%;3,25;0,35%;-0,18
30/08/2019;926,5;0,05%;1,75;0,19%;-12,5;-1,33%;0,18
29/08/2019;926;0,30%;12;1,31%;-28,25;-2,96%;1,01
28/08/2019;923,25;0,71%;-3;-0,32%;-38,5;-4,00%;2,39
27/08/2019;916,75;-0,87%;-13,75;-1,48%;-41,75;-4,36%;-2,94
26/08/2019;924,75;1,18%;-1;-0,11%;-32,5;-3,40%;3,95
23/08/2019;914;-1,32%;-10;-1,08%;-51,75;-5,36%;-4,50
22/08/2019;926,25;-0,46%;-11;-1,17%;-35;-3,64%;-1,56
21/08/2019;930,5;0,51%;2,25;0,24%;-32,75;-3,40%;1,75
20/08/2019;925,75;0,19%;-9,75;-1,04%;-51;-5,22%;0,64
19/08/2019;924;-1,41%;-22,5;-2,38%;-32,5;-3,40%;-4,87
16/08/2019;937,25;0,97%;0,5;0,05%;-20,75;-2,17%;3,31
15/08/2019;928,25;-0,77%;-21;-2,21%;-35,25;-3,66%;-2,66
14/08/2019;935,5;-1,16%;-5;-0,53%;-42;-4,30%;-4,04
13/08/2019;946,5;1,04%;22,25;2,41%;-42,5;-4,30%;3,58
12/08/2019;936,75;-1,32%;13,5;1,46%;-38;-3,90%;-4,59
09/08/2019;949,25;0,93%;23;2,48%;-21;-2,16%;3,22
08/08/2019;940,5;1,76%;14,5;1,57%;-21,25;-2,21%;5,97
07/08/2019;924,25;0,11%;1,5;0,16%;-31;-3,25%;0,37
06/08/2019;923,25;-0,32%;-15,75;-1,68%;-28,75;-3,02%;-1,10
05/08/2019;926,25;0,03%;-28;-2,93%;-40;-4,14%;0,09
02/08/2019;926;0,35%;-35,75;-3,72%;-30,25;-3,16%;1,19
01/08/2019;922,75;-1,73%;-35,75;-3,73%;-43,25;-4,48%;-5,97
31/07/2019;939;-1,60%;-18,25;-1,91%;-41,5;-4,23%;-5,60
30/07/2019;954,25;-0,78%;-11,5;-1,19%;-15,5;-1,60%;-2,76
29/07/2019;961,75;0,34%;0,5;0,05%;-14;-1,43%;1,19
26/07/2019;958,5;0,13%;-4,75;-0,49%;-25,5;-2,59%;0,46
25/07/2019;957,25;-0,88%;-19,5;-2,00%;-33;-3,33%;-3,12
24/07/2019;965,75;0,47%;9,25;0,97%;-19,25;-1,95%;1,65
23/07/2019;961,25;-0,21%;3,25;0,34%;-37,25;-3,73%;-0,73
22/07/2019;963,25;-1,38%;-0,25;-0,03%;-23;-2,33%;-4,96
19/07/2019;976,75;2,12%;-0,75;-0,08%;-21;-2,10%;7,44
18/07/2019;956,5;-0,16%;-32,5;-3,29%;-40,5;-4,06%;-0,55
17/07/2019;958;-0,57%;-16,75;-1,72%;-23;-2,34%;-2,02
16/07/2019;963,5;-1,43%;-6,75;-0,70%;-8,75;-0,90%;-5,14
15/07/2019;977,5;-1,16%;15,75;1,64%;15,25;1,58%;-4,23
12/07/2019;989;1,46%;33,75;3,53%;45,5;4,82%;5,24
11/07/2019;974,75;0,46%;22,75;2,39%;32;3,39%;1,65
